Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
2021-08;Transilien;P;Paris Est;94.686;17.818
2020-07;RER;B;RER B;89.142;8.21
2022-05;Transilien;L;Paris Saint-Lazare Sud;97.513;39.203
2022-01;Transilien;P;Paris Est;90.538;9.569
2016-04;RER;D;RER D;89.2;8.3
2021-09;RER;C;RER C;93.155;13.609
2020-07;Transilien;J;Paris Saint-Lazare Nord;92.495;12.324
2022-06;RER;D;RER D;87.501;7.001
2022-01;Transilien;R;Paris Sud Est;90.66;9.707
2016-04;Transilien;J;Paris Saint-Lazare Nord;91.0;10.1
2021-09;Transilien;H;Paris Nord Ouest;96.309;26.093
2020-08;Transilien;J;Paris Saint-Lazare Nord;93.514;14.417
2022-06;Transilien;N;Paris Montparnasse;94.348;16.693
2022-04;RER;A;RER A;91.146;10.295
2016-05;RER;C;RER C;88.6;7.8
2021-09;Transilien;N;Paris Montparnasse;94.706;17.891
2020-08;Transilien;P;Paris Est;90.729;9.786
2022-06;Transilien;R;Paris Sud Est;88.997;8.088
2022-04;Transilien;U;La Verrière - La Défense;95.648;21.977
2016-05;RER;D;RER D;85.7;6.0
2021-10;RER;B;RER B;80.334;4.085
2020-08;Transilien;U;La Verrière - La Défense;96.763;29.897
2022-07;RER;C;RER C;84.426;5.421
2022-05;RER;C;RER C;92.697;12.692
2016-05;RER;E;RER E;91.0;10.1
2021-10;RER;C;RER C;88.074;7.385
2020-09;RER;E;RER E;92.264;11.927
2022-08;RER;B;RER B;82.371;4.672
2022-05;Transilien;H;Paris Nord Ouest;96.47;27.332
2016-05;Transilien;K;Paris Nord Crépy;92.3;12.0
2021-10;RER;D;RER D;85.249;5.779
2020-09;Transilien;K;Paris Nord Crépy;93.599;14.622
2022-08;Transilien;H;Paris Nord Ouest;95.446;20.961
2022-06;Transilien;H;Paris Nord Ouest;94.728;17.967
2016-06;RER;C;RER C;88.1;7.4
2021-10;Transilien;N;Paris Montparnasse;92.358;12.086
2020-10;RER;E;RER E;92.796;12.882
2022-08;Transilien;N;Paris Montparnasse;96.596;28.377
2022-06;Transilien;K;Paris Nord Crépy;97.112;33.632
2016-06;Transilien;K;Paris Nord Crépy;89.4;8.4
2021-11;RER;A;RER A;86.061;6.174
2020-10;Transilien;U;La Verrière - La Défense;95.879;23.268
2022-09;RER;D;RER D;83.811;5.177
2022-06;Transilien;P;Paris Est;82.365;4.671
2016-07;RER;B;RER B;87.8;7.2
2021-11;RER;E;RER E;93.918;15.443
2020-11;Transilien;L;Paris Saint-Lazare Sud;96.193;25.268
2022-09;Transilien;J;Paris Saint-Lazare Nord;92.18;11.788
2022-07;RER;D;RER D;82.278;4.643
2016-07;Transilien;H;Paris Nord Ouest;91.8;11.2
2021-11;Transilien;H;Paris Nord Ouest;96.376;26.592
2020-11;Transilien;R;Paris Sud Est;90.476;9.5
2022-09;Transilien;P;Paris Est;90.146;9.148
2022-07;RER;E;RER E;94.416;16.908
2016-07;Transilien;R;Paris Sud Est;86.7;6.5
2021-11;Transilien;R;Paris Sud Est;89.031;8.116
2020-12;RER;E;RER E;93.577;14.569
2022-10;RER;C;RER C;90.371;9.385
2022-07;Transilien;J;Paris Saint-Lazare Nord;91.76;11.136
2016-08;RER;A;RER A;82.3;4.6
2021-12;RER;D;RER D;87.57;7.045
2021-01;RER;A;RER A;83.676;5.126
2022-10;RER;D;RER D;87.28;6.862
2022-07;Transilien;K;Paris Nord Crépy;98.711;76.556
2016-08;RER;C;RER C;90.3;9.3
2021-12;Transilien;K;Paris Nord Crépy;96.982;32.139
2021-01;Transilien;L;Paris Saint-Lazare Sud;95.988;23.923
2022-10;Transilien;P;Paris Est;90.44;9.461
2022-07;Transilien;L;Paris Saint-Lazare Sud;93.953;15.537
2016-08;RER;E;RER E;92.7;12.7
2021-12;Transilien;P;Paris Est;92.876;13.038
2021-02;RER;C;RER C;86.4;6.353
2022-11;RER;E;RER E;94.193;16.221
2022-07;Transilien;N;Paris Montparnasse;96.437;27.065
2016-08;Transilien;H;Paris Nord Ouest;95.1;19.4
2022-01;Transilien;L;Paris Saint-Lazare Sud;91.375;10.595
2021-02;Transilien;J;Paris Saint-Lazare Nord;87.613;7.073
2022-11;Transilien;K;Paris Nord Crépy;96.491;27.501
2022-08;Transilien;L;Paris Saint-Lazare Sud;97.161;34.221
2016-08;Transilien;P;Paris Est;87.6;7.1
2022-02;RER;B;RER B;84.972;5.654
2021-02;Transilien;K;Paris Nord Crépy;90.965;10.068
2022-11;Transilien;L;Paris Saint-Lazare Sud;94.177;16.174
2022-09;Transilien;H;Paris Nord Ouest;96.975;32.063
2016-08;Transilien;U;La Verrière - La Défense;93.2;13.7
2022-02;RER;D;RER D;86.248;6.272
2021-03;RER;B;RER B;88.663;7.821
2022-09;Transilien;R;Paris Sud Est;91.566;10.857
2016-09;RER;B;RER B;87.8;7.2
2022-02;Transilien;U;La Verrière - La Défense;96.152;24.99
2021-03;Transilien;K;Paris Nord Crépy;94.88;18.531
2022-10;RER;B;RER B;80.79;4.206
2016-09;Transilien;H;Paris Nord Ouest;96.4;26.8
2022-03;RER;E;RER E;92.404;12.165
2021-03;Transilien;N;Paris Montparnasse;92.696;12.691
2022-10;Transilien;N;Paris Montparnasse;95.11;19.452
2016-09;Transilien;J;Paris Saint-Lazare Nord;92.1;11.7
2022-03;Transilien;R;Paris Sud Est;89.422;8.454
2021-04;RER;E;RER E;95.648;21.978
2022-10;Transilien;R;Paris Sud Est;90.197;9.201
2016-09;Transilien;L;Paris Saint-Lazare Sud;90.7;9.8
2022-03;Transilien;U;La Verrière - La Défense;95.054;19.218
2021-04;Transilien;J;Paris Saint-Lazare Nord;95.641;21.943
2022-11;RER;A;RER A;86.148;6.219
2016-09;Transilien;P;Paris Est;93.0;13.3
2022-04;RER;D;RER D;87.165;6.791
2021-04;Transilien;K;Paris Nord Crépy;93.628;14.695
2022-11;Transilien;P;Paris Est;89.864;8.866
2016-09;Transilien;U;La Verrière - La Défense;92.4;12.2
2022-04;RER;E;RER E;93.432;14.225
2021-04;Transilien;L;Paris Saint-Lazare Sud;97.407;37.565
2022-11;Transilien;U;La Verrière - La Défense;94.905;18.626
2016-10;RER;E;RER E;93.0;13.3
2022-05;Transilien;K;Paris Nord Crépy;95.836;23.017
2021-05;RER;B;RER B;89.953;8.953
2016-10;Transilien;K;Paris Nord Crépy;95.4;20.7
2022-05;Transilien;U;La Verrière - La Défense;96.695;29.254
2021-05;Transilien;J;Paris Saint-Lazare Nord;96.101;24.65
2016-10;Transilien;U;La Verrière - La Défense;94.6;17.5
2022-06;RER;A;RER A;83.837;5.187
2021-05;Transilien;K;Paris Nord Crépy;95.799;22.803
2016-12;Transilien;K;Paris Nord Crépy;86.5;6.4
2022-06;RER;C;RER C;90.859;9.94
2021-05;Transilien;N;Paris Montparnasse;93.919;15.444
2016-12;Transilien;R;Paris Sud Est;88.6;7.8
2022-06;Transilien;J;Paris Saint-Lazare Nord;87.868;7.243
2021-05;Transilien;R;Paris Sud Est;88.801;7.929
2016-12;Transilien;U;La Verrière - La Défense;94.5;17.2
2022-07;RER;A;RER A;85.937;6.111
2021-05;Transilien;U;La Verrière - La Défense;97.197;34.677
2017-01;RER;B;RER B;87.8;7.2
2022-07;Transilien;H;Paris Nord Ouest;90.854;9.934
2021-06;Transilien;P;Paris Est;88.148;7.438
2017-01;RER;C;RER C;87.3;6.9
2022-07;Transilien;U;La Verrière - La Défense;96.507;27.629
2021-07;RER;B;RER B;85.101;5.712
2017-01;Transilien;J;Paris Saint-Lazare Nord;88.8;7.9
2022-08;RER;A;RER A;93.634;14.71
2021-07;RER;D;RER D;88.484;7.684
2017-02;Transilien;H;Paris Nord Ouest;93.1;13.5
2022-08;Transilien;P;Paris Est;90.149;9.151
2021-07;Transilien;J;Paris Saint-Lazare Nord;93.669;14.796
2017-03;RER;B;RER B;83.8;5.2
2022-08;Transilien;R;Paris Sud Est;91.56;10.849
2021-08;RER;D;RER D;88.909;8.017
2017-03;Transilien;N;Paris Montparnasse;93.4;14.2
2022-09;RER;B;RER B;82.464;4.702
2021-08;RER;E;RER E;95.883;23.292
2017-04;RER;B;RER B;84.2;5.3
2022-09;RER;C;RER C;90.762;9.824
2021-08;Transilien;K;Paris Nord Crépy;95.36;20.554
2017-04;Transilien;L;Paris Saint-Lazare Sud;92.3;12.0
2022-09;Transilien;L;Paris Saint-Lazare Sud;94.34;16.669
2021-09;RER;E;RER E;93.969;15.581
2017-05;RER;B;RER B;82.258;4.6
2022-09;Transilien;N;Paris Montparnasse;95.782;22.706
2021-10;RER;E;RER E;94.505;17.199
2017-06;RER;A;RER A;69.948;2.3
2022-10;RER;E;RER E;92.028;11.544
2021-10;Transilien;H;Paris Nord Ouest;91.82;11.225
2017-06;RER;B;RER B;88.535;7.7
2022-10;Transilien;L;Paris Saint-Lazare Sud;92.411;12.178
2021-10;Transilien;K;Paris Nord Crépy;83.724;5.144
2017-06;RER;D;RER D;82.962;4.9
2022-10;Transilien;U;La Verrière - La Défense;94.792;18.2
2021-10;Transilien;L;Paris Saint-Lazare Sud;91.722;11.08
2017-06;Transilien;K;Paris Nord Crépy;95.264;20.1
2022-11;RER;C;RER C;85.289;5.798
2021-11;Transilien;N;Paris Montparnasse;91.513;10.783
2017-06;Transilien;P;Paris Est;82.038;4.6
2022-11;Transilien;J;Paris Saint-Lazare Nord;92.315;12.012
2021-11;Transilien;P;Paris Est;87.623;7.08
2017-06;Transilien;R;Paris Sud Est;76.235;3.2
2022-11;Transilien;N;Paris Montparnasse;94.259;16.419
2021-12;RER;E;RER E;95.654;22.01
2017-07;RER;A;RER A;70.835;2.4
2022-11;Transilien;R;Paris Sud Est;87.993;7.329
2021-12;Transilien;L;Paris Saint-Lazare Sud;95.018;19.073
2017-08;Transilien;K;Paris Nord Crépy;94.5;17.2
2021-12;Transilien;R;Paris Sud Est;89.154;8.22
2017-09;RER;E;RER E;95.0;19.0
2021-12;Transilien;U;La Verrière - La Défense;97.179;34.447
2017-09;Transilien;U;La Verrière - La Défense;93.0;13.3
2022-01;RER;B;RER B;86.505;6.41
2017-10;RER;B;RER B;79.7;3.9
2022-01;RER;D;RER D;90.743;9.803
2017-10;Transilien;J;Paris Saint-Lazare Nord;90.2;9.2
2022-01;RER;E;RER E;94.085;15.906
2017-11;RER;E;RER E;92.0;11.5
2022-01;Transilien;K;Paris Nord Crépy;94.437;16.974
2017-11;Transilien;J;Paris Saint-Lazare Nord;87.4;6.9
2022-02;RER;A;RER A;92.496;12.326
2017-11;Transilien;R;Paris Sud Est;79.3;3.8
2022-02;RER;C;RER C;91.612;10.922
2017-12;RER;A;RER A;77.1;3.4
2022-03;RER;C;RER C;91.592;10.894
2017-12;Transilien;R;Paris Sud Est;85.5;5.9
2022-03;Transilien;N;Paris Montparnasse;95.364;20.572
2018-01;RER;C;RER C;88.1;7.4
2022-03;Transilien;P;Paris Est;88.578;7.755
2018-01;RER;E;RER E;93.6;14.6
2022-04;RER;B;RER B;84.022;5.259
2018-01;Transilien;R;Paris Sud Est;81.7;4.5
2022-04;Transilien;J;Paris Saint-Lazare Nord;94.786;18.177
2018-02;RER;A;RER A;77.4;3.4
2022-05;RER;A;RER A;92.833;12.953
2018-02;RER;D;RER D;80.4;4.1
2022-05;RER;B;RER B;85.194;5.754
2018-02;Transilien;H;Paris Nord Ouest;90.3;9.3
2022-05;Transilien;J;Paris Saint-Lazare Nord;94.43;16.954
2018-02;Transilien;P;Paris Est;76.3;3.2
2022-05;Transilien;P;Paris Est;90.255;9.262
2018-03;Transilien;N;Paris Montparnasse;89.5;8.5
2022-05;Transilien;R;Paris Sud Est;92.278;11.95
2018-04;RER;B;RER B;87.4;6.9
2022-06;RER;B;RER B;82.46;4.701
2018-04;Transilien;N;Paris Montparnasse;91.2;10.4
2022-06;Transilien;L;Paris Saint-Lazare Sud;89.539;8.56
2018-04;Transilien;R;Paris Sud Est;85.6;5.9
2022-06;Transilien;U;La Verrière - La Défense;95.623;21.848
2018-04;Transilien;U;La Verrière - La Défense;92.9;13.1
2022-07;Transilien;R;Paris Sud Est;88.765;7.901
2018-05;Transilien;R;Paris Sud Est;85.9;6.1
2022-08;Transilien;U;La Verrière - La Défense;97.855;45.623
2018-06;RER;D;RER D;84.4;5.4
2022-09;Transilien;K;Paris Nord Crépy;98.429;62.673
2018-06;Transilien;N;Paris Montparnasse;89.6;8.6
2022-09;Transilien;U;La Verrière - La Défense;96.84;30.648
2018-06;Transilien;R;Paris Sud Est;81.1;4.3
2022-10;RER;A;RER A;87.265;6.853
2018-07;RER;B;RER B;85.9;6.1
2022-10;Transilien;H;Paris Nord Ouest;97.205;34.773
2018-07;RER;D;RER D;81.3;4.3
2022-10;Transilien;K;Paris Nord Crépy;95.005;19.02
2018-07;Transilien;J;Paris Saint-Lazare Nord;89.4;8.4
2022-11;RER;B;RER B;82.42;4.688
2018-08;RER;A;RER A;91.8;11.2
2022-11;RER;D;RER D;83.245;4.968
2018-08;RER;D;RER D;88.0;7.3
2018-09;RER;A;RER A;82.2;4.6
2018-09;RER;B;RER B;87.0;6.7
2018-09;Transilien;H;Paris Nord Ouest;95.9;23.4
2018-09;Transilien;L;Paris Saint-Lazare Sud;90.7;9.8
2018-09;Transilien;U;La Verrière - La Défense;93.6;14.6
2018-10;RER;A;RER A;80.85;4.2
2018-10;RER;B;RER B;84.72;5.5
2018-10;RER;D;RER D;83.5;5.1
2018-10;Transilien;H;Paris Nord Ouest;94.5;17.2
2018-10;Transilien;N;Paris Montparnasse;90.8;9.9
2018-11;RER;A;RER A;83.13;4.9
2018-11;RER;D;RER D;77.4;3.4
2018-11;RER;E;RER E;93.4;14.2
2018-12;RER;B;RER B;85.6;5.9
2018-12;Transilien;K;Paris Nord Crépy;93.0;13.3
2019-01;RER;B;RER B;83.9;5.2
2019-01;RER;C;RER C;88.1;7.4
2019-02;RER;B;RER B;84.5;5.5
2019-02;RER;C;RER C;85.672;6.0
2019-02;RER;D;RER D;85.574;5.9
2019-02;RER;E;RER E;93.053;13.4
2019-03;Transilien;N;Paris Montparnasse;93.055;13.4
2019-03;Transilien;U;La Verrière - La Défense;95.945;23.7
2019-04;RER;E;RER E;90.883;10.0
2019-04;Transilien;K;Paris Nord Crépy;96.654;28.9
2019-07;RER;D;RER D;85.101;5.7
2019-08;RER;A;RER A;94.061;15.8
2019-08;Transilien;K;Paris Nord Crépy;95.431;20.9
2019-09;Transilien;H;Paris Nord Ouest;96.494;27.5
2019-09;Transilien;L;Paris Saint-Lazare Sud;93.834;15.2
2019-09;Transilien;N;Paris Montparnasse;93.2;13.7
2019-09;Transilien;P;Paris Est;85.931;6.1
2019-09;Transilien;U;La Verrière - La Défense;95.86;23.2
2019-10;RER;B;RER B;76.488;3.3
2019-10;Transilien;J;Paris Saint-Lazare Nord;86.439;6.4
2019-10;Transilien;L;Paris Saint-Lazare Sud;89.837;8.8
2019-10;Transilien;N;Paris Montparnasse;87.745;7.2
2019-10;Transilien;P;Paris Est;88.893;8.0
2019-10;Transilien;U;La Verrière - La Défense;91.795;11.2
2019-11;Transilien;L;Paris Saint-Lazare Sud;91.801;11.2
2020-02;Transilien;J;Paris Saint-Lazare Nord;86.88;6.622
2020-02;Transilien;L;Paris Saint-Lazare Sud;92.863;13.011
2020-03;RER;B;RER B;73.521;2.777
2020-03;RER;C;RER C;93.441;14.246
2020-03;RER;D;RER D;84.696;5.534
2020-03;Transilien;K;Paris Nord Crépy;91.071;10.2
2020-03;Transilien;P;Paris Est;88.686;7.838
2020-06;Transilien;U;La Verrière - La Défense;95.482;21.132
2020-07;Transilien;H;Paris Nord Ouest;94.199;16.237
2020-07;Transilien;K;Paris Nord Crépy;93.239;13.791
2020-07;Transilien;N;Paris Montparnasse;94.142;16.072
2020-08;RER;B;RER B;76.672;3.287
2020-08;RER;C;RER C;93.157;13.614
2020-08;RER;D;RER D;87.498;6.999
2020-09;RER;C;RER C;91.069;10.197
2020-09;RER;D;RER D;87.593;7.06
2020-09;Transilien;H;Paris Nord Ouest;94.268;16.445
2020-09;Transilien;L;Paris Saint-Lazare Sud;94.426;16.939
2020-11;RER;C;RER C;91.637;10.958
2020-11;Transilien;H;Paris Nord Ouest;95.565;21.548
2020-11;Transilien;P;Paris Est;93.767;15.044
2020-12;RER;A;RER A;88.737;7.879
2020-12;RER;B;RER B;88.286;7.537
2020-12;RER;C;RER C;92.309;12.003
2020-12;Transilien;L;Paris Saint-Lazare Sud;93.937;15.493
2021-02;RER;B;RER B;83.125;4.926
2021-02;RER;D;RER D;85.731;6.008
2021-02;RER;E;RER E;94.078;15.887
2021-02;Transilien;H;Paris Nord Ouest;95.113;19.464
2021-03;RER;A;RER A;88.795;7.924
2021-03;Transilien;P;Paris Est;92.286;11.963
2021-03;Transilien;R;Paris Sud Est;89.093;8.168
2021-04;RER;B;RER B;88.612;7.781
2021-05;RER;A;RER A;93.766;15.041
2021-05;RER;C;RER C;92.896;13.076
2021-06;Transilien;N;Paris Montparnasse;92.274;11.944
2021-06;Transilien;R;Paris Sud Est;89.928;8.928
2021-07;RER;E;RER E;91.978;11.466
2021-07;Transilien;K;Paris Nord Crépy;93.304;13.935
2021-08;Transilien;U;La Verrière - La Défense;97.784;44.135
2021-09;RER;A;RER A;86.326;6.313
2021-09;RER;B;RER B;81.033;4.272
2021-09;Transilien;R;Paris Sud Est;88.138;7.43
2021-09;Transilien;U;La Verrière - La Défense;95.151;19.625
2021-10;Transilien;J;Paris Saint-Lazare Nord;91.842;11.258
2021-10;Transilien;U;La Verrière - La Défense;93.772;15.055
2021-12;RER;B;RER B;82.741;4.794
2021-12;Transilien;J;Paris Saint-Lazare Nord;94.681;17.801
2021-12;Transilien;N;Paris Montparnasse;95.717;22.347
2022-01;Transilien;N;Paris Montparnasse;95.024;19.095
2022-01;Transilien;U;La Verrière - La Défense;93.982;15.616
2022-02;Transilien;K;Paris Nord Crépy;92.367;12.101
2022-02;Transilien;L;Paris Saint-Lazare Sud;95.748;22.517
2022-02;Transilien;N;Paris Montparnasse;96.526;27.786
2022-02;Transilien;R;Paris Sud Est;91.46;10.71
2022-03;RER;B;RER B;85.901;6.093
2022-03;Transilien;H;Paris Nord Ouest;96.604;28.451
2022-03;Transilien;K;Paris Nord Crépy;96.586;28.291
2022-04;Transilien;H;Paris Nord Ouest;94.376;16.782
2022-04;Transilien;L;Paris Saint-Lazare Sud;94.632;17.628
2022-04;Transilien;N;Paris Montparnasse;95.834;23.006
2022-04;Transilien;P;Paris Est;92.119;11.689
2022-05;RER;E;RER E;93.202;13.71
2022-05;Transilien;N;Paris Montparnasse;94.814;18.284
2022-06;RER;E;RER E;92.924;13.133
2022-07;RER;B;RER B;73.832;2.821
2022-07;Transilien;P;Paris Est;86.414;6.361
2022-08;RER;C;RER C;91.957;11.432
2022-08;RER;D;RER D;88.902;8.011
2022-08;RER;E;RER E;93.526;14.447
2022-08;Transilien;J;Paris Saint-Lazare Nord;94.934;18.739
2022-08;Transilien;K;Paris Nord Crépy;94.515;17.233
2022-09;RER;A;RER A;90.763;9.826
2022-09;RER;E;RER E;93.648;14.743
2022-10;Transilien;J;Paris Saint-Lazare Nord;92.651;12.607
2022-11;Transilien;H;Paris Nord Ouest;95.366;20.579
